final_cash,total_borrow,total_invest,objective,scenario
5000000.0,4963801.34,302229.538,-48126.86571,170
5000000.0,4977025.1,312721.007,-48206.64596499999,171
5000000.0,4979159.4,351148.1297,-48035.85335150001,172
5000000.0,5033451.538,269551.75,-48986.75663,173
5000000.0,5015200.1,169873.6544,-49302.632728,174
5000000.0,4976734.7,423391.9159,-47650.387420499996,175
5000000.0,4969892.3,313494.515,-48131.450425,176
5000000.0,4987333.1,396996.25100000005,-47888.349745,177
5000000.0,4885604.3,454256.322,-46584.76139,178
5000000.0,5032527.63,387873.904,-48385.906780000005,179
5000000.0,5054303.9,322971.22065,-48928.18289675001,180
5000000.0,4978607.8,286854.457,-48351.805715,181
5000000.0,4921491.5,384690.932,-47291.46034,182
5000000.0,4987732.6,268108.484,-48536.783579999996,183
5000000.0,4940788.8546,243570.5679,-48190.03570650001,184
5000000.0,4964251.2,282306.837,-48230.977815000006,185
5000000.0,5057709.6,410014.821,-48527.02189499999,186
5000000.0,4981345.2,534941.591,-47138.744045,187
5000000.0,4984156.9,459672.79000000004,-47543.20505000001,188
5000000.0,4966942.79,235725.976,-48490.79802,189
5000000.0,4980660.0,409254.399,-47760.328004999996,190
5000000.0,5001511.8,733992.4720000001,-46345.155640000004,191
5000000.0,4958055.8,343140.4888,-47864.855556,192
5000000.0,5009572.6,327966.5197,-48455.8934015,193
5000000.0,4911800.0,242008.268,-47907.95866,194
5000000.0,4920609.8,410821.1105,-47151.992447499986,195
5000000.0,5011387.8,525839.1935,-47484.6820325,196
5000000.0,5002317.5,440128.959,-47822.530205,197
5000000.0,5012960.2,438191.41599999997,-47938.64492000001,198
5000000.0,4975716.4,594406.857,-46785.12971500002,199
5000000.0,4998831.0,282404.69800000003,-48576.28651,200
5000000.0,5019417.7,155079.4978,-49418.779511,201
5000000.0,5038753.8,440780.893,-48183.63353500001,202
5000000.0,4982953.7,445459.0174,-47602.241913,203
5000000.0,4996784.7,191751.4596,-49009.089702,204
5000000.0,4960915.3,439517.683,-47411.56458500001,205
5000000.0,5073409.609999999,297269.202,-49247.75009,206
5000000.0,4953014.2,500523.37200000003,-47027.52514,207
5000000.0,5019830.4,412654.381,-48135.032095,208
5000000.0,5005318.3,349920.79,-48303.57905,209
5000000.0,5066457.6,300272.245,-49163.214775,210
5000000.0,5006822.3,287533.54158,-48630.5552921,211
5000000.0,4971673.9,486267.585,-47285.401075,212
5000000.0,4963459.2,466025.68700000003,-47304.46356500001,213
5000000.0,4953732.3,277649.027,-48149.07786499999,214
5000000.0,5026816.6097,285507.175,-48840.63022200001,215
5000000.0,5028016.1,296876.963,-48795.776185,216
5000000.0,4954199.8,265364.39,-48215.17605,217
5000000.0,4995817.5,528747.744,-47314.43628,218
5000000.0,4983325.7,321207.271,-48227.220645,219
5000000.0,4959244.6,482698.341,-47178.954294999996,220
5000000.0,5018796.8,383943.3106,-48268.251447,221
5000000.0,5000882.2,408786.898,-47964.88751,222
5000000.0,4963605.3,732603.332,-45973.03634,223
5000000.0,5004127.9,200475.789,-49038.900055000006,224
5000000.0,4955435.4,456208.983,-47273.30908500001,225
5000000.0,5018611.1,377567.558,-48298.27321000001,226
5000000.0,4938789.5,399247.355,-47391.65822500001,227
5000000.0,4980482.0,466187.447,-47473.882764999995,228
5000000.0,4982094.2,383916.174,-47901.36113,229
5000000.0,4971505.5,427723.62200000003,-47576.43689,230
5000000.0,4951811.6,396889.499,-47533.66850499999,231
5000000.0,4942389.5,622901.478,-46309.387610000005,232
5000000.0,5042118.8,305590.37305,-48893.236134750005,233
5000000.0,5036982.0,392139.885,-48409.120575000015,234
5000000.0,4897109.7664,112724.6632,-48407.474347999996,235
5000000.0,5038546.1,476972.139,-48000.600305,236
5000000.0,5026483.4,580142.227,-47364.122865,237
5000000.0,4981878.3,466738.51399999997,-47485.09042999999,238
5000000.0,4946047.7,281427.7158,-48053.33842100001,239
5000000.0,5006506.5,436507.455,-47882.527725,240
5000000.0,4946892.9,69961.2313,-49119.1228435,241
5000000.0,4998499.1,660507.836,-46682.451819999995,242
5000000.0,4975000.5,495654.064,-47271.73468000001,243
5000000.0,4965860.3,678469.634,-46266.25483,244
5000000.0,5033515.3,364292.48,-48513.690599999994,245
5000000.0,4945449.7,316280.5793,-47873.0941035,246
5000000.0,4993500.2,204794.44,-48911.029800000004,247
5000000.0,4982437.561,387327.967,-47887.73577500001,248
5000000.0,4936451.4,311090.164,-47809.063180000005,249
5000000.0,4949367.6,484270.2819,-47072.32459049999,250
5000000.0,4912964.9,395697.6894,-47151.16055300001,251
5000000.0,4975173.6,450550.164,-47498.98518,252
5000000.0,4948678.7,465665.605,-47158.45897500001,253
5000000.0,4963212.6,533575.1398,-46964.250301,254
5000000.0,5060748.5,351007.759,-48852.44620500001,255
5000000.0,4933370.2,535375.1643000001,-46656.82617850001,256
5000000.0,4972757.1,425804.806,-47598.546969999996,257
5000000.0,4935102.2,432608.674,-47187.97863000001,258
5000000.0,4970295.2,283561.54,-48285.1443,259
5000000.0,4980210.0,299361.343,-48305.29328499999,260
5000000.0,4926340.4,457018.347,-46978.31226500001,261
5000000.0,5020613.3,170152.4859,-49355.3705705,262
5000000.0,5016737.574999999,292779.68700000003,-48703.47731499999,263
5000000.0,4999672.755,343455.949,-48279.447804999996,264
5000000.0,5009563.5,265233.1801,-48769.4690995,265
5000000.0,4964966.8,389038.391,-47704.476044999996,266
5000000.0,4947123.5,478211.632,-47080.17684,267
5000000.0,4969278.6,404436.7486,-47670.602257,268
5000000.0,4904273.7,457924.565,-46753.114175,269
5000000.0,4923649.5,281905.1891,-47826.969054500005,270
5000000.0,4993691.6,505445.485,-47409.688575,271
5000000.0,5005648.8,456092.31799999997,-47776.02641,272
5000000.0,5039352.8,449403.822,-48146.50889,273
5000000.0,4998453.1,320980.2184,-48379.629908,274
5000000.0,4962106.4,497152.133,-47135.303335000004,275
5000000.0,4988604.3,391710.1314,-47927.492343,276
5000000.0,4995102.1,368987.27,-48106.08465,277
5000000.0,4982741.2,377431.958,-47940.252210000006,278
5000000.0,5027923.011,561367.986,-47472.39018000001,279
5000000.0,4995132.8,217489.433,-48863.880834999996,280
5000000.0,5022191.0018,458583.53599999996,-47928.992338000004,281
5000000.0,4999396.9,448519.59,-47751.371049999994,282
5000000.0,5013696.3,419907.842,-48037.42379,283
5000000.0,4942945.0,292245.40499999997,-47968.222975000004,284
5000000.0,4968431.909,341220.45,-47978.21684,285
5000000.0,4989324.5,295470.268,-48415.89366,286
5000000.0,5017533.5,301233.083,-48669.169584999996,287
5000000.0,5016265.0,507151.466,-47626.892669999994,288
5000000.0,4967575.8,314026.901,-48105.62349500001,289
5000000.0,4967507.5,333260.21760000003,-48008.773912000004,290
5000000.0,4930104.8,466726.032,-46967.41784000001,291
5000000.0,4956796.8,380483.626,-47665.54987,292
5000000.0,4999518.2,500431.882,-47493.02259,293
5000000.0,4954106.6,562037.521,-46730.878395,294
5000000.0,5058766.7,224309.1889,-49466.1210555,295
5000000.0,4979419.6,273248.811,-48427.95194499999,296
5000000.0,4954316.0,381286.21541,-47636.72892295,297
5000000.0,4998833.1,373311.20999999996,-48121.77494999999,298
5000000.0,4979382.3,257803.62099999998,-48504.80489499999,299
5000000.0,4914128.8,379941.243,-47241.58178500001,300
5000000.0,4959832.6,364728.053,-47774.685735,301
5000000.0,4990474.0,488668.08999999997,-47461.39955,302
5000000.0,4956028.9825,238615.68300000002,-48367.21141,303
5000000.0,5040550.4,348043.121,-48665.288395,304
5000000.0,4970940.5,541200.407,-47003.402964999994,305
5000000.0,4950192.3,594010.2768,-46531.871616000004,306
5000000.0,4962604.3,442602.475,-47413.030625,307
